id,Medicine Name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class,Condition,User,Date,Rating,Content,reference,food_interactions__001,food_interactions__002,food_interactions__003,food_interactions__004,food_interactions__005,food_interactions__006,food_interactions__007,food_interactions__008,Substitute
,Ciprofloxacin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urinary Tract Infection,Anonymous,25-Jun-19,1,"""I was diagnosed with a kidney infection a few days ago and the doctor prescribed me this medicine. I read all these reviews and it made me nervous but I decided I would just take it. I took two doses and QUICKLY had horrible side effects. I have been on many antibiotics and I’ve never felt the way I do now. I could not sleep last night, was sweating horrible, woke up this morning with muscle aches in my hands and THE WORST ANXIETY I have ever experienced. I felt like I was going to die. It’s now been 12 hours since my last dose and I still do not feel myself, I have a headache, feel very down and tired, and just not myself. I wouldn’t wish this feeling on my worst enemy. This is AWFUL. This drug should be taken off the market. I'm glad some people have better experiences but I called my doctor and they said stop it immediately and called in something else. My doctor told me this antibiotic has a HIGH chance of causing anxiety in people and brain fog. Never again.""",,,,,,,,,,
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety,Mommy,9-May-23,6,"Lexapro (escitalopram)""The first couple of days were great. It calmed my anxiety and OCD thoughts. On day 3 I ended up calling an ambulance in the middle of the night because I couldn't see straight and felt like I couldn't breathe. Worse panic attack I've ever had. Stopped taking it the next day.""",,,,,,,,,,
,Nitrofurantoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urinary Tract Infection,MEL,29-Jun-18,1,"""I was feeling off so went to doctor and they took stool sample , blood, urine everything besides imaging and found all normal but a UTI. I was so shocked I had no idea I had a UTI. I was prescribed this and I am On day 2.5 and yesterday I felt like vomiting and passing out. Woke up at 5:30 couldn't sleep and felt icky again. Took another pill (thinking my icky feeling was the UTI) and went to Walmart hours later. In Walmart and felt the same way going to pass out and throw up worst anxiety ever. I do not recommend this to anyone. So I got home and started reading side effect and it says there are cases that the pill can kill you and be fatal with no warning signs. Sorry and  WHAT ?!?! And all this for a UTI that I had no symptoms of um NO!!!! Be safe out there. Big pharmaceutical don’t care about us ! That’s like saying hey shoot yourself in rate cases people die. Come on people !!! Very upset right now""",,,,,,,,,,Ciprofloxacin
,Metformin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polycystic Ovary SyndromeOff-label,Sid,21-Jan-20,10,"""Guys don’t give up. I took Metformin 4 and half years ago for my PCSO as I was trying to conceive. 
I did one round of clomid and fell pregnant but had an ectopic pregnancy and had my right side tube removed. Then a year later we went for IVF round and that was unsuccessful. 
I gave my self some time to recover from the heart ache. My doctor recommended me to take Metformin to regulate my period. 
I started  with 3 tables a day 1500mg, I experienced nausea for first 2/3 week I did lose few pounds but was never overweight (BMI 24). I started taking tablets in January and period starts to regulate after two months. 
Me and husband had appointment for second round of IVF in June 15 and I decide to do a pregnancy test in June 2015  as I was feeling very tried and to my surprise it came out positive. 
I took Metformin for 5 months to give me a miracle baby after one test tube baby. 
My baby was born on time and healthy. He is turning 4 years old next month.""",,,,,,,,,,"Glimepiride, Sitagliptin"
,Nitrofurantoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urinary Tract Infection,potat,14-Sep-18,5,"""I tend to get UTI's rather easily. Most of the generic antibiotics don't work for me and make me feel worse.
Though this antibiotic does work. It made me feel terrible. It also sometimes gives me a slight burning feeling in the bladder. This can last even after I have finished the course. 
When on these it pretty much like you have a really bad case of the flu. (again this isn't for all people you might react differently)

Sometimes I had bouts of feeling okay, but then suddenly really sick and nauseous. 
I rated it a 5 out of 10 because. although the side effects are horrible. I would rather deal with feeling ill for a few days then having pain when urinating or a kidney infection. And if you take paracetamol while on these, it will calm down some of these side effects for a few hours.

If getting rid of your infection is more important to you than feeling sick for around 7-10 days then I would recommend it. If not then try another antibiotic.""",,,,,,,,,,Ciprofloxacin
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body Dysmorphic DisorderOff-label,Kate,23-Jan-15,9,"""Have been on Mozarin(Escitalopram 15mg) for about 3 years with one few months interval trying to give it up. Greatly helps for depression and social anxiety, makes body dysmorphic disorder easier to handle and somehow accept but absolutely doesn't cure. After this period of time decided to go off the medication as didn't see it was strong enough anymore. It's much worse without it, planning to go back on it or maybe start something new. Only drawback horrible withdrawal symptoms passing after 2-3 weeks.""",,,,,,,,,,
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panic Disorder,Anna,21-Nov-22,8,"""This medication has helped me SO much.  I started on a really low dose as I was nervous about taking it.  If I’m honest, I struggled with headaches and feeling a bit “odd” for a few weeks but I persevered as I was desperate to not have panic attacks or feel suicidal. Sertraline has helped me so and I will continue to take it.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,Swear...,1-May-20,10,"""I have been it for about 5 years now and thankfully I have had no side effects. I take two 100mg  sertraline at night and been working great. I have tried others ( Lost count how many ) but never worked. It's been hit and miss till I was prescribed Sertraline. That was heaven sent.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Rizatriptan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migraine,Anonymous,20-Sep-23,No rating available,"Maxalt (rizatriptan)""Maxalt works 99% of the time for my migraine attacks. The side effects I experience are fatigue and dry mouth, then always followed by hiccups that last a couple of hours.""",,,,,,,,,,
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety,Mr HBP,2-Nov-19,1,"Lexapro (escitalopram)""Here's my experience with this drug. Day 3 of taking 5 mg with Coreg, skin was hot and couldn't sleep. So I stopped. About a month and a half later, new doctor put me on Lexapro because Coreg screwed up my adrenal glands. Took 5 mg for a week with metoprolol, then 3 days on 10 mg and skin was itchy and burning. Ended up in ER and they gave me hydroxyzine in case of allergy. It could be the manufacturer Lupin that has a chemical in there that does damage to me. This is my experience, maybe Lexapro goes well for you. Will NOT take this ever again.""",,,,,,,,,,
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety,Lynn,28-Jul-19,2,"Lexapro (escitalopram)""I took Lexapro for years. No one told me that it had side effects of hair loss. Upon doing my own research and going to several doctors and a dermatologist that told me there was nothing I could do I figured it out on my own.""",,,,,,,,,,
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Obsessive Compulsive Disorder,Anonymous,15-Feb-22,10,"""I had a baby 4 months ago. Had a horrible Postpartum experience and started experiencing OCD thoughts/depression/anxiety. The whole postpartum depression experience. It’s the worst I have ever mentally felt in my life. I just didn’t feel like myself. I started Zoloft on 25mg and it helped but it was still there. I started on 50mg. It took about 8 weeks but I’m almost completely better. I never review stuff but this really helped me. I feel like myself again. Please try it and give it time. It saved my life""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Losartan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Blood Pressure,Anonymous,26-Jun-17,4,"""Started out ok on this after switching from Lisinopril which controlled BP to 120/80 then started getting excruciating bad spasms which I attribute to this then came the sudden dizzy spells. Blacked out behind the wheel and got in a car accident last month. Fortunately I was not injured and only minimal damage to my car. This stuff is scary but seems to control BP reasonably well.""",,,,,,,,,,
,Sumatriptan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cluster Headaches,Beila,19-May-17,1,"""My experience with generic imitrex has been bad.  It sometimes works, sort of, but a day or so after, I have debilitating muscle aches. It took me a while to make the association, but once I switched back to the real medication, that problem went away.""",,,,,,,,,,Rizatriptan
,Ciprofloxacin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prostatitis,Mr mi...,7-Nov-17,3,"""Symptoms of prostatitis will go away, but the side effects are no joke. I started my cycle AFTER finding all of the reviews online. After 4 doses of 2 week supply I called the nurse practitioner who wrote the script and told her I'm done. If you research online you'll find that Cipro is one of the big guns in anti biotics, so if your primary suggest it to you right off the bat, ask for options.""",,,,,,,,,,
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety,BRCT,20-Sep-21,10,"""Back in 2018 I went away on vacation, one morning I woke up super dehydrated and didn’t realize how dry my mouth was until I couldn’t swallow. I started to panic and noticed my heart pounding out of my chest. I feared the worst and rushed to the emergency room where they didn’t find anything. For the following month I continued to feel like my heart was always racing and I that something was very wrong with me. After a full cardiac work up they told me that it was all anxiety driven. I started on lexapro 10mg. The first couple weeks I was still very anxious. At the 2 week mark I felt okay enough to travel for a weekend away. I had my good days and my bad but I fought hard to tell myself it was all in my head. After a month I was very close to being back to normal and after about 6 months of living stress & anxiety free I started to taper off of it. It worked for me and it can work for you too!""",,,,,,,,,,
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panic Disorder,Alabama...,13-Apr-15,10,"Zoloft (sertraline)""I had been a marijuana smoker for many years but stopped and then found I was depressed, couldn't sleep or concentrate very well and would get panic attacks.  My drug & alcohol physician put me onto Prozac but after just one tablet, I suffered anxiety and was very jittery and almost felt sea-sick and terrified.  He then prescribed Zoloft for me.  What a WONDERFUL drug!  After one day, I felt focussed, clear headed and happy.  I went on to attend Melbourne University as a mature aged student and studied philiosophy - it was amazing.  I'd never felt so intelligent or capable in my life.  I eventually came off Zoloft after a few years and have never looked back.  It may not suit everyone but it certainly was just what I needed!""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Nitrofurantoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urinary Tract Infection,NHS...,3-Mar-18,5,"Macrobid (nitrofurantoin)""Was prescribed this during my first trip to the National health service (NHS)  since moving to England. Typical UTI, and the timing made sense, so I knew the routine. I was prescribed Macrobid because ""we have a better drug for UTI over here that isn't being used in the states and you should try it"". 

It was at least 36 hours before I started to feel symptoms going away, which I found troublesome - my trusty Cipro always worked within a couple hours. I'm currently on day 5 of 7, and have found every night I wake up after about three hours sleep both with stomach cramps and completely ravenous. I'm so sleepy, I can barely complete a day at the office before coming home and passing out. 
I've thankfully not had the headaches others have described, but between the stomach aches, the drastic sleepiness, and delay in relief (which makes me scared of return soon as meds are done) I will definitely be requesting Cipro if there is a next time.""",,,,,,,,,,Ciprofloxacin
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety and StressOff-label,Jessie,30-Mar-21,10,"""Hi I have been been battling anxiety for about 6 years. I suffer with really bad intrusive thoughts. I’ve taken Zoloft (sertraline ) in the past and it really works I started to feel the normal me again no intrusive thoughts anymore. I decided to stop taking it and what happen 1 year later and 3 months my anxiety came back and my thoughts too. So I am back on Zoloft. I am on 50mg. I’ve been taking it for 1 week and half already I am again experiencing side effects like anxiety spiking, sweating, insomnia and  upset stomach but it only last for a couple of days. I have experienced the side effects before when I first took Zoloft.. I just hope this review helps people that are going through the same situation that I am going through. What I do recommend is to stick with the Zoloft the fist days it feels like a nightmare but then one day you will wake up and no more anxiety and intrusive thoughts..:)""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Isoniazid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuberculosis, Latent",NIECE,22-Oct-19,1,"""I was on this medication for 5 weeks of hell. At my first monthly check (5 weeks) my liver functions were over a thousand. Rushed to the ER where I was admitted for possible liver failure. Hospital stay, tests, 3 sets of Drs. $$$. I got lucky, no permanent damage.  What I never was told was that this medication is an MAO.  By taking me off the medication I went into sudden withdrawal systems, very difficult. On day 4 I have up to 2 weeks to experience it all.   The reason I went on this was to start biologics, I am no longer allowed to start any type of biological or demard. There's not a lot of information out there sadly and the doctors don't give us enough information on what we're doing to our own bodies. This has been a nightmare one I will never repeat. Please do yourself a favor and be your own advocate. Thumbs down for me.""",,,,,,,,,,Ethambutol
,Sumatriptan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclic Vomiting SyndromeOff-label,Anonymous,14-Mar-17,8,"""It is fairly effective if taken in time. Usually with a nausea medication too. Doesn't fully resolve symptoms but takes the edge off and helps with vomiting. It is also very expensive medication.""",,,,,,,,,,Rizatriptan
